,precision,recall,f1-score,support
Lawana imitata Melichar,0.5680933852140078,0.6008230452674898,584,243.0
Salurnis marginella Guerr,0.5666666666666667,0.4473684210526316,0.5,152.0
Deporaus marginatus Pascoe,0.6371681415929203,0.8275862068965517,0.72,174.0
Chlumetia transversa,0.7969924812030075,0.7210884353741497,0.7571428571428571,147.0
Mango flat beak leafhopper,0.6779661016949152,0.6349206349206349,0.6557377049180327,63.0
Rhytidodera bowrinii white,0.6341463414634146,0.2826086956521739,0.39097744360902253,92.0
Sternochetus frigidus,0.6,0.32142857142857145,0.4186046511627907,28.0
Cicadellidae,0.7464788732394366,0.6347305389221557,0.686084142394822,167.0
accuracy,0.6807993279985852,0.6807993279985852,0.6807993279985852,0.6807993279985852
macro avg,0.6102760677119731,0.5824336634342853,0.5865857039383642,22619.0
weighted avg,0.6796807238034572,0.6807993279985852,0.6746505157914808,22619.0
