,precision,recall,f1-score,support
Lawana imitata Melichar,0.6538461538461539,0.6995884773662552,0.6759443339960238,243.0
Salurnis marginella Guerr,0.5730994152046783,0.6447368421052632,0.6068111455108359,152.0
Deporaus marginatus Pascoe,0.7259615384615384,0.867816091954023,0.7905759162303665,174.0
Chlumetia transversa,0.823076923076923,0.7278911564625851,0.7725631768953068,147.0
Mango flat beak leafhopper,0.7843137254901961,0.6349206349206349,0.7017543859649122,63.0
Rhytidodera bowrinii white,0.5405405405405406,0.43478260869565216,0.4819277108433735,92.0
Sternochetus frigidus,0.6666666666666666,0.5,0.5714285714285714,28.0
Cicadellidae,0.7452229299363057,0.7005988023952096,0.7222222222222222,167.0
accuracy,0.7260710022547416,0.7260710022547416,0.7260710022547416,0.7260710022547416
macro avg,0.6680037123820316,0.6420747540323598,0.6491554596774859,22619.0
weighted avg,0.7210209281976573,0.7260710022547416,0.7207686862476337,22619.0
